ct,ca,tiempo,tiempo_c
4, 100, 0.777284, 0.38062
16, 100, 0.808132, 0.392708
32, 100, 0.797726, 0.402884
64, 100, 0.769537, 0.387525
2, 100, 0.807931, 0.443062
4, 100, 0.779222, 0.387958
16, 100, 0.772753, 0.386603
32, 100, 0.805341, 0.412867
64, 100, 0.782766, 0.394045
2, 100, 0.809736, 0.449672
4, 100, 0.777125, 0.387971
16, 100, 0.783016, 0.386562
32, 100, 0.795365, 0.398394
64, 100, 0.799267, 0.384765
2, 100, 1.001, 0.441671
4, 100, 0.779069, 0.38688
16, 100, 0.791342, 0.38676
32, 100, 0.794859, 0.409153
64, 100, 0.770187, 0.393139
2, 100, 0.814554, 0.449445
4, 100, 0.787791, 0.380091
16, 100, 0.789135, 0.390749
32, 100, 0.770512, 0.393948
64, 100, 0.800877, 0.378677
2, 100, 1.00487, 0.624986
4, 100, 0.789701, 0.386087
16, 100, 0.793084, 0.393027
32, 100, 0.798613, 0.407805
64, 100, 0.768221, 0.39322
2, 100, 0.801702, 0.445306
4, 100, 0.784395, 0.388553
16, 100, 0.814917, 0.390173
32, 100, 0.793805, 0.399648
64, 100, 0.785314, 0.387704
2, 100, 1.03257, 0.455654
4, 100, 0.788541, 0.3891
16, 100, 0.805906, 0.388444
32, 100, 0.797005, 0.399286
64, 100, 0.79991, 0.395876
2, 100, 0.80835, 0.44602
4, 100, 0.7805, 0.387774
16, 100, 0.804831, 0.388098
32, 100, 0.794338, 0.406088
64, 100, 0.802789, 0.38586
2, 100, 0.7998, 0.445799
4, 100, 0.795877, 0.390352
16, 100, 0.789668, 0.387826
32, 100, 0.784165, 0.402662
64, 100, 0.820269, 0.409719
2, 100, 0.798002, 0.443433
4, 100, 0.777969, 0.38912
16, 100, 0.78836, 0.384405
32, 100, 0.78964, 0.406848
64, 100, 0.787446, 0.397443
2, 100, 0.804913, 0.449643
4, 100, 0.773863, 0.383067
16, 100, 0.811836, 0.394848
32, 100, 0.793875, 0.433198
64, 100, 0.826528, 0.3949
2, 100, 0.811998, 0.613836
4, 100, 0.787392, 0.382935
16, 100, 0.795129, 0.390315
32, 100, 0.783952, 0.395977
64, 100, 0.805147, 0.39637
2, 100, 0.799705, 0.600601
4, 100, 0.786634, 0.388905
16, 100, 0.80517, 0.387493
32, 100, 0.756083, 0.400433
64, 100, 0.761527, 0.390644
2, 100, 0.80566, 0.446365
4, 100, 0.776059, 0.380597
16, 100, 0.784377, 0.389077
32, 100, 0.793523, 0.403584
64, 100, 0.799309, 0.397338
2, 100, 1.00753, 0.45256
4, 100, 0.784691, 0.394268
16, 100, 0.787034, 0.393328
32, 100, 0.794068, 0.390677
64, 100, 0.79784, 0.400366
2, 100, 0.858703, 0.468141
4, 100, 0.78128, 0.390403
16, 100, 0.811577, 0.39086
32, 100, 0.795457, 0.402411
64, 100, 0.802303, 0.392098
2, 100, 1.01081, 0.441927
4, 100, 0.783684, 0.380218
16, 100, 0.789349, 0.397875
32, 100, 0.797406, 0.400013
64, 100, 0.809449, 0.400022
2, 100, 0.81482, 0.44997
4, 100, 0.770718, 0.379559
16, 100, 0.810062, 0.388831
32, 100, 0.788999, 0.38589
64, 100, 0.814683, 0.40019
2, 100, 0.806628, 0.621615
4, 100, 0.787548, 0.387783
16, 100, 0.781915, 0.393457
32, 100, 0.788629, 0.394648
64, 100, 0.813065, 0.387766
2, 100, 0.814327, 0.448822
4, 100, 0.777466, 0.377583
16, 100, 0.781739, 0.387298
32, 100, 0.798572, 0.399174
64, 100, 0.802721, 0.390212
2, 100, 0.866047, 0.477833
4, 100, 0.791393, 0.390513
16, 100, 0.808409, 0.388751
32, 100, 0.798311, 0.404576
64, 100, 0.808805, 0.387111
2, 100, 0.808815, 0.544386
4, 100, 0.794816, 0.391225
16, 100, 0.775264, 0.394077
32, 100, 0.796675, 0.400089
64, 100, 0.82278, 0.393829
2, 100, 0.80187, 0.442931
4, 100, 0.781796, 0.385431
16, 100, 0.807409, 0.389508
32, 100, 0.785346, 0.398354
64, 100, 0.81095, 0.390061
2, 100, 1.02878, 0.446984
4, 100, 0.788653, 0.385333
16, 100, 0.804766, 0.385325
32, 100, 0.791873, 0.403848
64, 100, 0.820586, 0.46679
2, 100, 0.806081, 0.444417
4, 100, 0.789528, 0.388102
16, 100, 0.804897, 0.388393
32, 100, 0.802481, 0.401935
64, 100, 0.826019, 0.395395
2, 100, 0.802205, 0.447504
4, 100, 0.778495, 0.381515
16, 100, 0.821219, 0.393394
32, 100, 0.787902, 0.404443
64, 100, 0.774285, 0.39365
2, 100, 1.00726, 0.60055
4, 100, 0.784402, 0.386251
16, 100, 0.790279, 0.383511
32, 100, 0.795041, 0.397823
64, 100, 0.821454, 0.390111
2, 100, 0.811152, 0.446972
4, 100, 0.78232, 0.393525
16, 100, 0.815209, 0.390551
32, 100, 0.778244, 0.391822
64, 100, 0.778549, 0.395453
2, 100, 0.801727, 0.443221
4, 100, 0.785349, 0.38549
16, 100, 0.817021, 0.391469
32, 100, 0.784506, 0.398182
64, 100, 0.821281, 0.39562
2, 100, 0.809471, 0.447381
4, 100, 0.782449, 0.390894
16, 100, 0.800356, 0.386354
32, 100, 0.771076, 0.398024
64, 100, 0.798432, 0.408499
2, 100, 1.0127, 0.440432
4, 100, 0.813172, 0.388552
16, 100, 0.781474, 0.395919
32, 100, 0.794795, 0.402648
64, 100, 0.810732, 0.389911
2, 100, 1.0133, 0.447862
4, 100, 0.784517, 0.38687
16, 100, 0.773377, 0.389988
32, 100, 0.798537, 0.403575
64, 100, 0.810953, 0.386722
2, 100, 1.01263, 0.445322
4, 100, 0.785031, 0.388036
16, 100, 0.805948, 0.390483
32, 100, 0.802126, 0.406074
64, 100, 0.810732, 0.39287
2, 100, 0.809186, 0.446523
4, 100, 0.783162, 0.387849
16, 100, 0.781941, 0.392051
32, 100, 0.777282, 0.397028
64, 100, 0.834684, 0.405805
2, 100, 0.808064, 0.575824
4, 100, 0.776032, 0.384397
16, 100, 0.784883, 0.391636
32, 100, 0.791896, 0.402726
64, 100, 0.770566, 0.403546
2, 100, 1.01003, 0.440063
4, 100, 0.775862, 0.384827
16, 100, 0.812918, 0.394598
32, 100, 0.795288, 0.396679
64, 100, 0.786113, 0.397165
2, 100, 0.804494, 0.576793
4, 100, 0.777087, 0.382504
16, 100, 0.816976, 0.405362
32, 100, 0.796497, 0.408154
64, 100, 0.823576, 0.39895
2, 100, 1.01307, 0.447195
4, 100, 0.771847, 0.382349
16, 100, 0.815365, 0.395085
32, 100, 0.777786, 0.405095
64, 100, 0.806411, 0.394658
2, 100, 0.812097, 0.44836
4, 100, 0.775183, 0.380466
16, 100, 0.806994, 0.386126
32, 100, 0.790028, 0.399221
64, 100, 0.799562, 0.396133
2, 100, 1.02298, 0.445905
4, 100, 0.771948, 0.384004
16, 100, 0.867812, 0.408867
32, 100, 0.780175, 0.397725
64, 100, 0.801519, 0.397252
2, 100, 1.00844, 0.488379
4, 100, 0.769143, 0.382678
16, 100, 0.788504, 0.384741
32, 100, 0.786939, 0.406059
64, 100, 0.812194, 0.386575
2, 100, 0.797813, 0.444084
4, 100, 0.799085, 0.397176
16, 100, 0.805615, 0.385648
32, 100, 0.797998, 0.402008
64, 100, 0.824374, 0.389876
2, 100, 1.00496, 0.613678
4, 100, 0.791905, 0.396894
16, 100, 0.804593, 0.393674
32, 100, 0.786255, 0.40063
64, 100, 0.822593, 0.404458
2, 100, 0.804176, 0.445278
4, 100, 0.778074, 0.389732
16, 100, 0.809872, 0.386094
32, 100, 0.77622, 0.413015
64, 100, 0.817109, 0.380352
2, 100, 1.02825, 0.449251
4, 100, 0.780437, 0.388108
16, 100, 0.816189, 0.396751
32, 100, 0.798872, 0.404159
64, 100, 0.805421, 0.386743
2, 100, 0.807393, 0.45414
